DATE,01:J1,02:J2,03:J4,04:J5,05:J6,06:J6A,07:J7,08:J8,09:J9,10:J10,11:J11,12:J11A,13:J12,14:J13,15:J14,16:J15,17:J15A,18:J16,19:J17,20:J18,21:J19,22:J20,23:J21,24:J21A,25:J22,26:J23,27:J23A,28:J24,29:J24A,30:J25,31:J26,32:J27,33:J28,34:J29,35:J29A,36:J30,37:J31,38:J32,39:J33,40:J34,41:J35,42:J35A,43:J36,44:J37,45:J38,46:J39,47:J40,48:J41,49:J42,50:J43|44,51:J45,52:J46,53:J47,54:J48
2023-05-07 14:17:45.212758,59.795723,70.0,65.100426,66.612526,65.97496,65.86535,63.804295,62.828518,64.86784,61.66553,63.791016,64.02425,63.705605,65.33715,66.49886,65.52414,68.71288,67.91015,70.0,65.54873,62.98526,70.0,69.653015,67.72946,66.97935,69.379135,60.764427,60.49077,67.108086,68.51653,70.0,70.0,63.228065,67.87872,67.72946,68.54255,70.0,67.67498,57.78752,61.382923,65.8786,67.72946,66.26877,69.73182,69.79997,69.623375,66.76551,68.550804,48.301426,65.087494,70.0,64.001236,62.758488,NA
2023-05-07 14:47:48.143847,64.14532,70.0,66.96714,70.0,70.0,67.108086,62.19821,61.225063,66.31104,65.86535,66.897865,67.02466,64.182205,59.27204,67.34543,69.4934,67.19453,67.854675,62.137123,59.94991,58.786243,59.024155,68.72132,70.0,70.0,68.63674,64.33273,67.468735,68.35083,69.741516,69.85443,70.0,68.63659,70.0,66.56589,58.686764,55.104687,64.45088,54.929817,62.625668,65.63399,68.9722,66.64809,70.0,70.0,69.623375,70.0,66.73098,49.447395,63.109127,70.0,68.55982,70.0,NA
2023-05-07 15:17:51.335676,65.48362,66.38473,66.44737,70.0,67.72947,62.758488,63.668438,65.06991,66.92415,66.096695,66.897865,65.71528,61.002956,58.65067,66.18285,69.69375,70.0,70.0,68.35083,66.12868,59.70878,61.109715,65.3223,68.9722,70.0,70.0,65.735405,66.89212,70.0,70.0,70.0,67.62395,69.95347,67.548965,62.648335,59.271515,60.513023,63.382618,60.023853,64.17266,67.71621,70.0,70.0,70.0,69.323235,69.44568,70.0,70.0,49.447395,58.493526,61.196754,70.0,70.0,NA
2023-05-07 15:47:54.625827,61.850945,66.70866,62.79522,70.0,67.510254,60.89438,60.500496,62.1667,64.683914,62.450027,66.07557,65.106255,57.63667,60.59717,65.26654,61.374886,58.322453,61.833984,69.593575,69.73848,64.641655,65.80993,66.47495,70.0,66.55986,66.00831,67.72946,67.85982,67.72946,63.663372,64.30663,64.51242,65.95322,63.851974,64.47286,67.47154,68.4495,66.71292,57.043083,70.0,70.0,70.0,67.6163,67.72946,68.91067,66.9006,63.58304,66.44243,49.640945,59.528625,64.33685,70.0,70.0,NA
2023-05-07 16:17:57.835053,61.038467,65.29345,69.1564,65.24397,66.04803,61.51575,58.408894,64.3704,63.257236,64.85839,63.676613,60.544735,61.075348,63.858025,65.70082,67.9298,66.400276,68.1109,67.72946,66.426956,55.92341,57.07386,70.0,68.9722,70.0,70.0,68.06097,66.37635,70.0,70.0,69.85443,68.144485,61.834423,58.35333,63.961647,65.12852,66.585396,70.0,59.77621,66.03677,69.76549,70.0,70.0,70.0,70.0,68.676414,66.35917,65.3111,49.088326,59.255615,65.40347,61.727547,60.958435,NA
2023-05-07 16:48:01.144336,64.76669,64.77155,62.23872,61.8855,68.89913,65.24397,61.546295,69.21389,68.9722,65.706665,61.9269,63.30447,61.545868,63.313652,67.07284,68.15049,67.108086,67.42133,68.35083,67.69958,62.533516,70.0,70.0,70.0,66.91139,67.65798,59.63997,62.593826,55.302036,69.12906,69.52147,65.76218,63.356823,59.03026,60.563892,61.219204,63.139843,64.96329,60.397583,64.3912,64.695305,68.9722,68.73014,68.00743,67.52696,62.75849,64.20441,65.86535,55.02703,53.52256,55.302036,55.095848,59.523506,NA
2023-05-07 17:18:04.719816,59.50905,68.28035,68.41831,70.0,70.0,70.0,65.33562,66.48253,64.86784,68.89064,70.0,67.42669,63.011852,65.260155,67.9424,62.758495,70.0,70.0,62.75849,64.391136,54.699715,56.421726,69.339195,61.515747,56.756107,67.465485,67.66449,65.11362,67.108086,67.92649,66.96388,67.21126,60.773815,59.769665,60.563892,57.330143,54.822006,58.128204,52.691975,58.434628,61.588448,62.758495,64.70329,64.20786,66.30278,66.8123,67.805084,64.7783,54.04659,57.282154,62.95124,67.521866,62.228947,NA
2023-05-07 17:48:08.001542,62.998135,69.591064,65.84372,70.0,70.0,66.48672,60.561584,66.20529,68.04427,61.511307,60.368824,63.23243,61.479553,58.73306,59.855484,64.001236,66.400276,67.38737,68.9722,66.193504,56.186474,60.0269,62.425907,63.37986,64.56442,67.65798,65.40389,65.98527,67.72946,67.66434,61.471203,52.814213,53.324146,54.05929,57.858093,57.139156,57.110138,62.477802,57.043083,60.51728,70.0,70.0,68.27014,67.6596,68.364586,66.634605,67.74131,63.335583,54.252842,56.381107,60.894375,57.166153,58.244476,NA
2023-05-07 18:18:11.084662,62.663433,66.815674,69.73973,68.22502,70.0,67.72946,64.71424,64.39704,67.921646,65.706665,60.273003,63.95436,64.87596,61.603535,63.624676,64.20158,65.24397,65.07697,66.48672,68.46586,58.389847,54.83448,68.029755,69.593575,55.60399,61.372795,63.764675,63.489933,65.86535,67.47708,67.296844,65.34481,56.457245,53.82324,54.570507,57.130676,59.312946,61.741955,58.036674,60.18729,62.831192,65.24397,66.5674,65.17559,65.81687,65.71745,66.28355,63.86838,52.251225,60.30332,63.396484,68.56263,70.0,NA
2023-05-07 18:48:14.434640,56.831955,63.348347,70.0,68.728264,65.97496,62.758488,59.48524,64.18867,63.563793,57.243267,61.40135,61.610676,61.660526,64.4794,67.29755,66.68706,66.313835,65.85167,63.37986,61.112556,60.913425,56.729355,57.75499,60.894375,61.764362,70.0,62.68185,59.93592,63.37986,65.05373,65.981995,66.48204,55.302036,54.05929,59.39173,58.652157,59.792973,61.177822,58.036674,58.56745,60.504364,62.13712,62.37917,63.656353,62.78072,61.66364,59.448463,65.44395,58.961514,59.873653,59.701515,57.578533,57.358334,NA
